N,HAP,SAD,SUR,ANG,DIS,FEA,PIC
1,2.87,2.52,2.10,1.97,1.97,2.06,KM-NE1
2,2.87,2.42,1.58,1.84,1.77,1.77,KM-NE2
3,2.50,2.10,1.70,1.50,1.73,1.53,KM-NE3
4,4.90,1.13,1.26,1.10,1.03,1.10,KM-HA1
5,4.87,1.20,1.43,1.03,1.07,1.07,KM-HA2
6,4.61,1.32,1.39,1.23,1.10,1.19,KM-HA3
7,5.00,1.13,1.26,1.10,1.10,1.06,KM-HA4
8,4.65,1.29,1.39,1.23,1.16,1.16,KM-HA5
9,1.42,4.00,1.55,2.39,3.26,3.03,KM-SA1
10,1.23,4.39,1.45,2.61,3.19,2.71,KM-SA2
11,1.32,4.00,1.87,2.60,3.77,3.19,KM-SA3
12,1.26,4.29,1.58,2.26,3.39,2.94,KM-SA4
13,1.35,4.13,1.61,2.10,3.81,3.10,KM-SA5
14,2.13,1.55,4.97,1.65,1.45,2.10,KM-SU1
15,2.16,1.90,4.97,1.74,1.81,3.10,KM-SU2
16,2.16,1.84,4.94,1.71,1.65,2.32,KM-SU3
17,1.39,2.03,1.57,4.58,3.77,1.68,KM-AN1
18,1.45,2.84,1.68,4.06,3.87,1.90,KM-AN2
19,1.42,2.13,1.55,4.16,3.58,1.77,KM-AN3
20,1.26,2.10,1.81,3.52,4.71,2.26,KM-DI1
21,1.55,2.13,1.74,3.16,4.32,2.13,KM-DI2
22,1.39,1.87,1.94,3.61,4.58,1.94,KM-DI3
23,2.52,2.58,2.61,1.97,2.90,2.87,KM-FE1
24,1.50,2.97,3.67,2.83,3.77,3.80,KM-FE2
25,1.68,2.84,3.61,2.90,3.84,3.19,KM-FE3
26,3.03,2.16,2.06,1.94,1.84,1.87,KA-NE1
27,2.84,1.94,2.13,1.77,1.68,1.87,KA-NE2
28,3.06,1.84,2.29,1.77,1.71,1.84,KA-NE3
29,4.39,1.35,2.29,1.16,1.23,1.26,KA-HA1
30,4.77,1.29,2.45,1.26,1.23,1.23,KA-HA2
31,4.61,1.48,2.19,1.29,1.32,1.39,KA-HA3
32,4.03,1.68,1.42,1.19,1.13,1.29,KA-HA4
33,1.39,3.97,1.68,2.19,3.68,3.61,KA-SA1
34,1.26,4.13,1.77,2.40,3.10,2.74,KA-SA2
35,1.68,3.71,1.74,2.42,3.16,3.03,KA-SA3
36,2.87,1.55,4.68,1.52,1.52,1.65,KA-SU1
37,3.00,1.94,4.35,1.68,1.55,1.58,KA-SU2
38,2.94,1.97,4.74,1.68,1.71,2.03,KA-SU3
39,1.55,1.90,2.10,4.32,3.90,1.81,KA-AN1
40,1.67,1.97,1.70,4.60,4.10,1.77,KA-AN2
41,1.30,1.70,1.70,4.30,4.43,1.73,KA-AN3
42,1.42,3.55,2.13,2.65,4.19,3.03,KA-DI1
43,1.29,2.26,2.13,3.32,4.74,2.87,KA-DI2
44,1.32,1.94,1.94,2.52,4.68,2.55,KA-DI3
45,1.32,4.16,3.65,1.97,2.87,4.26,KA-FE1
46,1.29,3.42,3.16,1.94,4.06,3.87,KA-FE2
47,1.39,3.00,4.29,2.32,3.74,4.13,KA-FE3
48,2.06,2.16,4.29,1.61,2.10,2.42,KA-FE4
49,2.71,2.97,1.45,1.90,2.00,1.94,YM-NE1
50,2.73,2.67,1.87,1.97,2.00,2.00,YM-NE2
51,3.03,2.45,1.74,2.00,1.90,1.77,YM-NE3
52,4.90,1.39,1.29,1.32,1.29,1.35,YM-HA1
53,4.84,1.42,1.35,1.23,1.23,1.23,YN-HA2
54,4.87,1.32,1.32,1.19,1.13,1.16,YM-HA3
55,1.45,4.61,1.52,1.55,2.13,2.39,YM-SA1
56,1.65,4.26,1.77,1.94,2.61,2.77,YM-SA2
57,1.55,4.32,1.35,1.71,2.74,2.55,YM-SA3
58,2.48,1.55,4.87,1.65,1.58,1.81,YM-SU1
59,2.74,1.48,4.45,1.39,1.42,1.68,YM-SU2
60,2.35,1.81,4.87,1.81,1.71,2.29,YM-SU3
61,1.19,2.16,1.55,4.74,2.84,1.39,YM-AN1
62,1.68,2.26,1.45,4.13,2.90,1.61,YM-AN2
63,1.55,2.32,1.68,4.77,3.16,1.87,YM-AN3
64,1.35,2.90,2.45,2.65,4.81,3.32,YM-DI1
65,1.13,2.13,2.37,3.03,4.63,3.00,YM-DI2
66,1.23,3.00,2.61,2.74,4.65,3.68,YM-DI3
67,1.23,4.26,3.16,2.13,3.26,4.03,YM-FE1
68,1.26,4.19,3.74,2.16,3.42,4.26,YM-FE2
69,1.29,3.52,3.48,2.03,3.42,3.35,YM-FE3
70,1.29,3.13,4.52,2.55,3.45,4.19,YM-FE4
71,2.23,2.06,1.84,2.87,2.35,1.87,KR-NE1
72,2.32,2.23,1.68,2.68,2.35,1.84,KR-NE2
73,2.03,2.16,1.68,2.81,2.39,1.81,KR-NE3
74,4.45,1.29,1.10,1.19,1.26,1.19,KR-HA1
75,4.19,1.48,1.65,1.29,1.32,1.35,KR-HA2
76,4.39,1.29,1.23,1.16,1.19,1.16,KR-HA3
77,1.48,4.23,1.84,2.55,2.74,2.29,KR-SA1
78,1.42,4.26,1.74,2.52,3.06,2.48,KR-SA2
79,1.48,3.90,1.77,2.81,3.29,2.42,KR-SA3
80,2.00,1.77,4.68,1.81,1.65,2.03,KR-SU1
81,2.10,1.84,4.58,2.19,2.03,2.10,KR-SU2
82,2.42,1.84,4.74,1.94,1.87,2.06,KR-SU3
83,1.39,1.87,1.73,4.58,3.19,1.68,KR-AN1
84,1.52,2.58,1.74,4.58,3.65,1.61,KR-AN2
85,1.48,2.48,2.19,4.48,3.42,2.16,KR-AN3
86,1.35,2.19,2.23,3.39,4.55,2.58,KR-DI1
87,1.35,2.32,1.97,4.03,4.39,2.35,KR-DI2
88,1.39,2.45,1.67,4.29,4.06,2.10,KR-DI3
89,1.52,2.26,4.45,3.16,3.03,2.90,KR-FE1
90,1.61,2.39,3.97,3.19,3.71,2.74,KR-FE2
91,1.55,2.42,4.00,3.58,3.55,3.06,KR-FE3
92,3.03,2.32,1.77,1.74,1.77,1.68,NM-NE1
93,3.29,2.23,1.84,1.68,1.68,1.71,NM-NE2
94,3.19,2.26,1.71,1.87,1.74,1.71,NM-NE3
95,4.29,1.55,1.45,1.39,1.26,1.23,NM-HA1
96,4.39,1.42,2.10,1.32,1.26,1.23,NM-HA2
97,4.19,1.45,1.84,1.42,1.35,1.39,NM-HA3
98,2.00,3.77,1.67,1.77,1.77,2.29,NM-SA1
99,2.48,2.68,1.81,1.97,1.90,1.84,NM-SA2
100,2.03,3.48,1.94,1.87,2.16,2.77,NM-SA3
101,2.68,1.65,4.94,1.48,1.45,1.77,NM-SU1
102,2.90,1.53,4.80,1.43,1.37,1.57,NM-SU2
103,2.65,1.77,4.94,1.65,1.52,1.90,NM-SU3
104,2.55,2.16,1.81,2.16,1.94,1.94,NM-AN1
105,2.03,2.29,1.61,2.71,2.35,1.87,NM-AN2
106,1.68,3.00,1.84,3.17,3.65,2.58,NM-AN3
107,2.67,2.67,1.77,2.30,3.10,2.21,NM-DI1
108,2.61,2.39,1.74,2.00,2.39,1.94,NM-DI2
109,2.45,1.94,1.52,2.16,2.61,1.65,NM-DI3
110,1.55,3.61,3.65,1.84,2.71,3.87,NM-FE1
111,2.29,2.29,3.84,1.94,2.32,2.29,NM-FE2
112,1.90,2.03,4.52,1.87,1.87,2.61,NM-FE3
113,2.90,2.65,1.74,1.87,1.90,1.87,MK-NE1
114,3.48,2.19,1.55,1.68,1.55,1.58,MK-NE2
115,2.97,2.39,1.71,1.81,1.61,1.84,MK-NE3
116,4.52,1.32,1.58,1.10,1.26,1.23,MK-HA1
117,4.32,1.61,1.42,1.48,1.52,1.48,MK-HA2
118,4.65,1.32,1.45,1.19,1.29,1.29,MK-HA3
119,1.65,4.23,1.74,2.13,2.74,2.68,MK-SA1
120,1.39,4.52,1.61,1.77,2.71,2.61,MK-SA2
121,1.26,4.84,1.65,2.13,2.52,2.23,MK-SA3
122,1.84,2.35,4.94,2.00,2.52,3.29,MK-SU1
123,2.32,1.65,4.97,1.81,1.90,2.26,MK-SU2
124,1.97,2.23,4.90,2.13,2.39,3.03,MK-SU3
125,1.26,1.87,1.48,4.68,4.00,1.55,MK-AN1
126,1.26,3.32,1.52,4.13,4.52,2.74,MK-AN2
127,1.26,3.03,2.03,4.35,4.61,2.97,MK-AN3
128,1.26,2.48,2.26,3.68,4.61,2.58,MK-DI1
129,1.32,3.10,2.43,2.26,4.39,3.10,MK-DI2
130,1.61,2.52,2.29,2.68,4.71,3.19,MK-DI3
131,1.23,4.06,4.10,2.32,3.26,4.26,MK-FE1
132,1.35,3.32,4.65,2.42,3.97,4.52,MK-FE2
133,1.42,3.65,2.84,2.16,3.29,4.06,MK-FE3
134,2.32,2.29,1.97,2.06,1.97,1.87,UY-NE1
135,2.10,2.35,1.68,2.23,1.90,1.87,UY-NE2
136,2.00,2.42,1.71,2.26,2.35,2.06,UY-NE3
137,3.42,2.52,1.61,1.55,1.55,1.61,UY-HA1
138,3.84,1.97,1.52,1.42,1.45,1.61,UY-HA2
139,4.13,1.81,1.42,1.26,1.32,1.55,UY-HA3
140,1.35,3.65,1.58,3.00,3.55,2.32,UY-SA1
141,1.52,3.84,1.55,2.61,3.55,2.58,UY-SA2
142,1.35,3.55,1.35,2.48,3.06,2.26,UY-SA3
143,2.52,2.29,3.61,1.74,1.94,2.26,UY-SU1
144,1.84,2.65,4.26,1.77,2.13,2.61,UY-SU2
145,1.97,2.65,4.45,1.90,1.81,2.42,UY-SU3
146,1.39,3.23,1.71,4.16,3.90,2.19,UY-AN1
147,1.45,2.35,1.58,4.23,3.10,1.81,UY-AN2
148,1.58,2.81,1.74,3.61,3.10,2.03,UY-AN3
149,1.37,2.93,2.30,2.80,4.20,3.33,UY-DI1
150,1.45,3.26,1.77,2.84,4.32,2.77,UY-DI2
151,1.35,3.23,1.52,3.39,4.39,2.84,UY-DI3
152,1.42,3.45,2.16,2.37,2.48,3.03,UY-FE1
153,1.74,3.16,2.32,2.42,2.48,2.68,UY-FE2
154,1.77,3.26,2.55,2.00,2.45,3.06,UY-FE3
155,1.84,2.29,3.71,2.35,2.32,2.13,KL-NE1
156,1.90,2.81,2.52,2.39,2.32,2.32,KL-NE2
157,2.10,2.13,3.61,2.16,2.10,2.06,KL-NE3
158,4.42,1.55,1.42,1.42,1.45,1.45,KL-HA1
159,4.48,1.68,1.58,1.65,1.55,1.58,KL-HA2
160,4.29,1.45,1.48,1.45,1.42,1.32,KL-HA3
161,1.19,4.35,1.83,2.87,3.77,3.42,KL-SA1
162,1.26,4.26,1.90,2.87,3.61,3.35,KL-SA2
163,1.39,4.42,1.94,2.77,3.68,3.81,KL-SA3
164,1.77,2.55,4.71,2.42,2.58,2.87,KL-SU1
165,1.84,1.80,4.84,2.16,1.90,2.19,KL-SU2
166,1.77,1.77,4.81,2.00,2.00,2.52,KL-SU3
167,1.39,3.00,1.87,3.84,3.81,2.29,KL-AN1
168,1.68,3.32,2.10,4.10,3.90,2.71,KL-AN2
169,1.39,3.10,1.84,3.52,3.94,2.35,KL-AN3
170,1.45,3.06,1.60,3.27,4.48,2.77,KL-DI1
171,1.16,4.03,2.10,3.52,4.42,2.87,KL-DI2
172,1.10,3.35,2.32,3.32,4.52,2.74,KL-DI3
173,1.16,3.00,1.97,3.06,4.35,2.55,KL-DI4
174,1.26,3.03,4.19,2.94,4.45,4.10,KL-FE1
175,1.19,3.29,3.03,3.52,4.16,3.45,KL-FE2
176,1.23,3.16,2.74,3.55,4.29,3.39,KL-FE3
177,2.84,2.58,1.87,1.84,1.87,1.84,TM-NE1
178,3.06,2.32,1.52,1.84,1.71,1.68,TM-NE2
179,2.97,1.90,1.42,1.61,1.52,1.32,TM-NE3
180,4.32,1.52,1.26,1.13,1.13,1.26,TM-HA1
181,4.35,1.65,1.13,1.13,1.26,1.55,TM-HA2
182,4.61,1.68,1.52,1.29,1.32,1.45,TM-HA3
183,4.81,1.58,1.42,1.29,1.26,1.39,TM-HA4
184,1.68,4.10,1.45,1.74,2.23,2.29,TM-SA1
185,1.48,4.23,1.45,1.84,2.52,2.48,TM-SA2
186,1.61,3.87,1.55,2.35,3.03,2.48,TM-SA3
187,1.65,2.77,4.61,2.10,2.87,3.74,TM-SU1
188,2.03,2.03,4.58,1.87,1.94,2.81,TM-SU2
189,1.77,2.52,4.77,2.03,2.13,3.32,TM-SU3
190,1.42,3.19,1.77,4.06,4.00,2.58,TM-AN1
191,1.39,2.58,1.74,4.13,3.48,1.94,TM-AN2
192,1.55,2.16,1.77,4.16,3.32,1.94,TM-AN3
193,1.35,1.81,2.19,3.16,4.81,2.39,TM-DI1
194,1.55,2.39,2.32,3.23,4.65,2.32,TM-DI2
195,1.35,2.39,1.90,3.10,4.55,2.87,TM-DI3
196,1.42,3.06,3.29,2.52,4.16,3.45,TM-FE1
197,1.45,2.77,3.13,2.32,4.39,3.10,TM-FE2
198,1.35,3.06,3.35,2.39,4.19,3.42,TM-FE3
199,2.68,2.10,1.61,2.19,2.03,1.68,NA-NE1
200,2.84,2.29,1.87,2.65,2.45,2.03,NA-NE2
201,2.77,2.00,1.84,2.32,2.23,2.61,NA-NE3
202,4.77,1.35,1.42,1.13,1.13,1.16,NA-HA1
203,4.65,1.47,1.29,1.23,1.32,1.10,NA-HA2
204,4.48,1.42,1.48,1.32,1.55,1.35,NA-HA3
205,1.52,4.03,1.77,2.65,3.03,2.94,NA-SA1
206,1.29,3.74,1.39,3.00,3.23,2.29,NA-SA2
207,1.71,3.16,1.84,3.48,3.19,2.58,NA-SA3
208,4.32,1.48,3.32,1.35,1.39,1.39,NA-SU1
209,2.68,1.45,4.52,1.90,2.03,2.00,NA-SU2
210,2.39,1.55,4.48,1.97,1.84,1.81,NA-SU3
211,1.19,2.55,1.61,4.45,3.65,1.71,NA-AN1
212,1.45,2.39,1.67,4.52,3.32,1.71,NA-AN2
213,1.32,2.61,1.61,4.48,3.23,1.94,NA-AN3
214,1.32,3.03,1.58,3.65,4.29,1.87,NA-DI1
215,1.45,3.19,1.81,3.16,4.19,2.77,NA-DI2
216,1.43,2.87,1.77,4.33,3.87,2.10,NA-DI3
217,1.61,2.68,4.10,3.16,3.81,3.90,NA-FE1
218,1.68,3.10,3.74,3.19,3.58,3.87,NA-FE2
219,1.48,3.26,3.39,2.71,3.06,3.74,NA-FE3
